Wavelength (nm)	Spectral irradiance (W m-2 nm-1)	Cumulative photon flux (cm-2 s-1)
1171	0.53075	3.51581E+17
1172	0.5305	3.51893E+17
1173	0.527625	3.52205E+17
1174	0.52675	3.52516E+17
1175	0.519	3.52823E+17
1176	0.51275	3.53126E+17
1177	0.520625	3.53434E+17
1178	0.5175	3.53741E+17
1179	0.516125	3.54047E+17
1180	0.520625	3.54356E+17
1181	0.518375	3.54664E+17
1182	0.5135	3.5497E+17
1183	0.4945	3.55264E+17
1184	0.50875	3.55567E+17
1185	0.51525	3.55874E+17
1186	0.515125	3.56181E+17
1187	0.514375	3.56489E+17
1188	0.507375	3.56792E+17
1189	0.49	3.57085E+17
1190	0.50425	3.57387E+17
1191	0.51275	3.57694E+17
1192	0.512125	3.58001E+17
1193	0.511125	3.58308E+17
1194	0.510375	3.58615E+17
1195	0.506625	3.58919E+17
