Wvlgth Direct_normal_irradiance Difuse_tilted_irradiance Global_tilted_irradiance Beam_normal_+circumsolar Difuse_horiz-circumsolar Zonal_ground_reflectance
3.8050e+02 1.0950e+00 1.5819e+00 1.1850e+00 1.0950e+00 1.0210e-01 9.1350e-02
3.8100e+02 1.1120e+00 1.4227e+00 1.2125e+00 1.1120e+00 1.0370e-01 9.1370e-02
3.8150e+02 1.0000e+00 1.4424e+00 1.0876e+00 1.0000e+00 9.3300e-02 9.1390e-02
3.8200e+02 8.5060e-01 1.5466e+00 9.6275e-01 8.5060e-01 7.9380e-02 9.1410e-02
3.8250e+02 7.3430e-01 1.5688e+00 8.5712e-01 7.3430e-01 6.8550e-02 9.1430e-02
3.8300e+02 6.5690e-01 1.5603e+00 7.5150e-01 6.5690e-01 6.1320e-02 9.1450e-02
3.8350e+02 6.3460e-01 1.5641e+00 7.9312e-01 6.3460e-01 5.9320e-02 9.1850e-02
3.8400e+02 7.3290e-01 1.5467e+00 8.3475e-01 7.3290e-01 6.8570e-02 9.2230e-02
3.8450e+02 8.8060e-01 1.5446e+00 9.3938e-01 8.8060e-01 8.2480e-02 9.2620e-02
3.8500e+02 9.6470e-01 1.5312e+00 1.0440e+00 9.6470e-01 9.0470e-02 9.3000e-02
3.8550e+02 9.1990e-01 1.5147e+00 1.0272e+00 9.1990e-01 8.6370e-02 9.3340e-02
3.8600e+02 8.8590e-01 1.5092e+00 1.0105e+00 8.8590e-01 8.3220e-02 9.3570e-02
3.8650e+02 9.1920e-01 1.5148e+00 1.0215e+00 9.1920e-01 8.6410e-02 9.3770e-02
3.8700e+02 9.2580e-01 1.5059e+00 1.0325e+00 9.2580e-01 8.7060e-02 9.3970e-02
3.8750e+02 9.1080e-01 1.4907e+00 1.0209e+00 9.1080e-01 8.5670e-02 9.4170e-02
3.8800e+02 9.0040e-01 1.4893e+00 1.0092e+00 9.0040e-01 8.4700e-02 9.4340e-02
3.8850e+02 8.9240e-01 1.4763e+00 1.0493e+00 8.9240e-01 8.4000e-02 9.4570e-02
3.8900e+02 9.6710e-01 1.4581e+00 1.0893e+00 9.6710e-01 9.1060e-02 9.4780e-02
3.8950e+02 1.0700e+00 1.4680e+00 1.1646e+00 1.0700e+00 1.0080e-01 9.4980e-02
3.9000e+02 1.1210e+00 1.4800e+00 1.2400e+00 1.1210e+00 1.0560e-01 9.5180e-02
3.9050e+02 1.1280e+00 1.4702e+00 1.2788e+00 1.1280e+00 1.0630e-01 9.5370e-02
3.9100e+02 1.1930e+00 1.4573e+00 1.3175e+00 1.1930e+00 1.1240e-01 9.5530e-02
3.9150e+02 1.2080e+00 1.4489e+00 1.2662e+00 1.2080e+00 1.1380e-01 9.5700e-02
3.9200e+02 1.1100e+00 1.4389e+00 1.2150e+00 1.1100e+00 1.0460e-01 9.5860e-02
3.9250e+02 9.2350e-01 1.4248e+00 9.9638e-01 9.2350e-01 8.7070e-02 9.6030e-02
3.9300e+02 6.6750e-01 1.4185e+00 7.7775e-01 6.6750e-01 6.2960e-02 9.6260e-02
3.9350e+02 5.2980e-01 1.4026e+00 7.8700e-01 5.2980e-01 5.0030e-02 9.6660e-02
3.9400e+02 6.8720e-01 1.4187e+00 7.9625e-01 6.8720e-01 6.4940e-02 9.7060e-02
3.9450e+02 9.4640e-01 1.4153e+00 1.0081e+00 9.4640e-01 8.9520e-02 9.7470e-02
3.9500e+02 1.1160e+00 1.3998e+00 1.2200e+00 1.1160e+00 1.0560e-01 9.7870e-02
3.9550e+02 1.1870e+00 1.3953e+00 1.1704e+00 1.1870e+00 1.1240e-01 9.8200e-02
3.9600e+02 1.0420e+00 1.3926e+00 1.1207e+00 1.0420e+00 9.8660e-02 9.8400e-02
3.9650e+02 7.5630e-01 1.3729e+00 9.4887e-01 7.5630e-01 7.1650e-02 9.8600e-02
3.9700e+02 5.8490e-01 1.3565e+00 7.7700e-01 5.8490e-01 5.5420e-02 9.8800e-02
3.9750e+02 8.6250e-01 1.3686e+00 1.0249e+00 8.6250e-01 8.1720e-02 9.9000e-02
3.9800e+02 1.1670e+00 1.3241e+00 1.2728e+00 1.1670e+00 1.1050e-01 9.9280e-02
3.9850e+02 1.3760e+00 1.3482e+00 1.4414e+00 1.3760e+00 1.3040e-01 9.9670e-02
3.9900e+02 1.4580e+00 1.3552e+00 1.6100e+00 1.4580e+00 1.3840e-01 1.0010e-01
3.9950e+02 1.5000e+00 1.3551e+00 1.6513e+00 1.5000e+00 1.4250e-01 1.0040e-01
4.0000e+02 1.5150e+00 1.3410e+00 1.6925e+00 1.5150e+00 1.4380e-01 1.0080e-01
4.0100e+02 1.5720e+00 1.3312e+00 1.7500e+00 1.5720e+00 1.5950e-01 1.0150e-01
