Ref_DOI_number,Perovskite_composition_short_form,Perovskite_composition_long_form,EQE_integrated_Jsc,JV_default_Voc,JV_default_Jsc,Perovskite_band_gap
10.1016/j.orgel.2016.11.031,MAPbI,MAPbI3,22.59,0.9,22.65,1.6
10.1007/s40820-020-00517-y,MAPbI,MAPbI3,22.58,1.08,22.89,1.59
10.1002/adma.201702157,MAPbI,MAPbI3,22.57,1.086,22.15,1.6
10.1016/j.apsusc.2019.05.068,MAPbI,MAPbI3,22.56,1.14,23.17,1.6
10.1002/adma.201903559,MAPbI,MAPbI3,22.56,1.116,23.5,1.61
10.1002/solr.201900499,MAPbI,MAPbI3,22.53,0.91,20.36,1.6
10.1016/j.jpowsour.2019.226956,MAPbI,MAPbI3,22.53,1.02,22.93,1.55
10.1039/c8nr07638c,MAPbI,MAPbI3,22.51,1.05,22.4,1.6
10.1002/adma.201706975,MAPbI,MAPbI3,22.5,1.07,23.44,1.6
10.1016/j.solener.2019.11.030,MAPbI,MAPbI3,22.5,1.02,22.28,1.6
10.1002/adfm.202001460,MAPbI,MAPbI3,22.5,1.01,21.3,
10.1002/advs.202000782,MAPbI,MAPbI3,22.5,1.058,24.4,
10.1039/c5ra14587b,MAPbI,MAPbI3,22.5,1.02,23.2,1.6
10.1002/cssc.201800758,MAPbI,MAPbI3,22.5,1.05,23.21,1.6
10.1002/adma.201706975,MAPbI,MAPbI3,22.5,1.07,23.44,1.6
10.1002/solr.201800167,MAPbI,MAPbI3,22.5,1.03,22.5,1.6
10.1039/c9ee02268f,MAPbI,MAPbI3,22.5,1.145,22.6,1.6
10.1002/anie.201911518,MAPbI,MAPbI3,22.5,1.104,23.39,1.6
10.1038/NENERGY.2015.1,MAPbI,MAPbI3,22.5,1.13,22.69,1.5
10.1021/acsami.8b17431,MAPbI,MAPbI3,22.5,0.911,22.4,1.61
10.1016/j.solener.2017.07.039,MAPbI,MAPbI3,22.5,,,1.56
10.1002/anie.201911518,MAPbI,MAPbI3,22.5,1.104,23.39,1.6
10.3390/nano8090720,MAPbI,MAPbI3,22.5,0.99,22.82,1.58
10.1016/j.solener.2017.07.039,MAPbI,MAPbI3,22.5,1.09,22.61,1.56
10.1002/anie.201911518,MAPbI,MAPbI3,22.5,1.104,23.39,1.6
10.1016/j.nanoen.2016.11.028,MAPbI,MAPbI3,22.5,1.08,23.26,1.6
10.1002/aenm.201900838,MAPbI,MAPbI3,22.5,1.093,23.75,1.56
10.1002/cssc.201701262,MAPbI,MAPbI3,22.5,1.11,21.7,1.6
10.1039/c9ta09260a,MAPbI,MAPbI3,22.5,1.1,23.9,1.6
10.1039/c8qi01020j,MAPbI,MAPbI3,22.5,1.075,24.16,1.55
10.1039/c7ta10945h,MAPbI,MAPbI3,22.5,1.101,23.0,1.6
